"Country or Territory","Station Name","WMO Station Number","National Station Id Number","Period","Element-Statistic Qualifier Code","Statistic Description","Unit","Jan","Jan Footnotes","Feb","Feb Footnotes","Mar","Mar Footnotes","Apr","Apr Footnotes","May","May Footnotes","Jun","Jun Footnotes","Jul","Jul Footnotes","Aug","Aug Footnotes","Sep","Sep Footnotes","Oct","Oct Footnotes","Nov","Nov Footnotes","Dec","Dec Footnotes","Annual","Annual Footnotes","Annual NCDC Computed Value","Annual NCDC Computed Value Footnotes"
"BRAZIL","Tirios","82026","","1961-1990","","Mean Value","%","84.0","","84.0","","85.0","","85.0","","87.0","","85.0","","85.0","","82.0","","76.0","","74.0","","75.0","","79.0","","81.0","","81.8",""
"BRAZIL","Macapa","82098","","1961-1990","","Mean Value","%","86.0","","87.0","","88.0","","89.0","","88.0","","86.0","","85.0","","81.0","","76.0","","75.0","","76.0","","80.0","","83.0","","83.1",""
"BRAZIL","Barcelos","82113","","1961-1990","","Mean Value","%","87.0","","86.0","","88.0","","90.0","","91.0","","91.0","","88.0","","88.0","","88.0","","88.0","","87.0","","87.0","","89.0","","88.2",""
"BRAZIL","SOURE","82141","","1961-1990","","Mean Value","%","85.0","","87.0","","88.0","","87.0","","86.0","","82.0","","82.0","","80.0","","76.0","","74.0","","76.0","","80.0","","82.0","","81.9",""
"BRAZIL","Tracuateua","82145","","1961-1990","","Mean Value","%","85.0","","89.0","","90.0","","91.0","","91.0","","89.0","","87.0","","85.0","","80.0","","77.0","","77.0","","80.0","","85.0","","85.1",""
"BRAZIL","Obidos","82178","","1961-1990","","Mean Value","%","86.0","","88.0","","89.0","","88.0","","88.0","","86.0","","84.0","","81.0","","78.0","","78.0","","78.0","","82.0","","84.0","","83.8",""
"BRAZIL","Monte Alegre","82181","","1961-1990","","Mean Value","%","80.0","","82.0","","84.0","","84.0","","84.0","","81.0","","80.0","","75.0","","73.0","","71.0","","76.0","","75.0","","78.0","","78.8",""
"BRAZIL","Porto de Moz","82184","","1961-1990","","Mean Value","%","88.0","","89.0","","89.0","","89.0","","89.0","","87.0","","87.0","","85.0","","84.0","","82.0","","83.0","","84.0","","86.0","","86.3",""
"BRAZIL","Breves","82188","","1961-1990","","Mean Value","%","89.0","","90.0","","90.0","","89.0","","87.0","","86.0","","84.0","","84.0","","84.0","","82.0","","84.0","","86.0","","86.0","","86.2",""
"BRAZIL","Belem","82191","","1961-1990","","Mean Value","%","86.0","","91.0","","91.0","","91.0","","88.0","","86.0","","85.0","","84.0","","84.0","","83.0","","83.0","","86.0","","84.0","","86.5",""
"BRAZIL","Turiacu","82198","","1961-1990","","Mean Value","%","82.0","","86.0","","88.0","","87.0","","87.0","","85.0","","83.0","","80.0","","77.0","","76.0","","75.0","","77.0","","81.0","","81.9",""
"BRAZIL","Parintins","82240","","1961-1990","","Mean Value","%","85.0","","87.0","","86.0","","87.0","","89.0","","87.0","","85.0","","82.0","","79.0","","77.0","","76.0","","82.0","","84.0","","83.5",""
"BRAZIL","Belterra","82246","","1961-1990","","Mean Value","%","90.0","","92.0","","92.0","","92.0","","93.0","","92.0","","90.0","","88.0","","87.0","","86.0","","85.0","","87.0","","90.0","","89.5",""
"BRAZIL","Sao Luis","82280","","1961-1990","","Mean Value","%","85.0","","88.0","","89.0","","90.0","","89.0","","86.0","","86.0","","84.0","","81.0","","81.0","","79.0","","81.0","","85.0","","84.9",""
"BRAZIL","Parnaiba","82287","","1961-1990","","Mean Value","%","77.0","","81.0","","83.0","","85.0","","83.0","","78.0","","71.0","","72.0","","69.0","","70.0","","70.0","","72.0","","75.9","","75.9",""
"BRAZIL","Tefe","82317","","1961-1990","","Mean Value","%","86.0","","85.0","","88.0","","88.0","","86.0","","87.0","","84.0","","82.0","","83.0","","84.0","","83.0","","87.0","","85.0","","85.2",""
"BRAZIL","Manaus","82331","","1961-1990","","Mean Value","%","86.0","","87.0","","88.0","","87.0","","87.0","","83.0","","80.0","","77.0","","77.0","","79.0","","81.0","","85.0","","83.0","","83.1",""
"BRAZIL","Itacoatiara","82336","","1961-1990","","Mean Value","%","85.0","","87.0","","88.0","","88.0","","87.0","","85.0","","84.0","","82.0","","80.0","","79.0","","80.0","","82.0","","84.0","","83.9",""
"BRAZIL","Altamira","82353","","1961-1990","","Mean Value","%","86.0","","87.0","","88.0","","88.0","","87.0","","85.0","","83.0","","81.0","","79.0","","78.0","","79.0","","86.0","","84.0","","83.9",""
"BRAZIL","Tucurui","82361","","1961-1990","","Mean Value","%","90.0","","91.0","","91.0","","91.0","","89.0","","87.0","","85.0","","85.0","","84.0","","85.0","","85.0","","88.0","","87.0","","87.6",""
"BRAZIL","Ze Doca","82376","","1961-1990","","Mean Value","%","83.0","","86.0","","86.0","","86.0","","84.0","","81.0","","77.0","","74.0","","71.0","","71.0","","71.0","","74.0","","78.0","","78.7",""
"BRAZIL","Sobral","82392","","1961-1990","","Mean Value","%","69.0","","74.0","","81.0","","85.0","","80.0","","74.0","","66.0","","55.0","","55.0","","58.0","","57.0","","61.0","","67.9","","67.9",""
"BRAZIL","Fortaleza","82397","","1961-1990","","Mean Value","%","78.0","","79.0","","84.0","","85.0","","82.0","","80.0","","80.0","","75.0","","74.0","","73.0","","74.0","","76.0","","78.3","","78.3",""
"BRAZIL","Fernando de Noronha","82400","","1961-1990","","Mean Value","%","78.0","","76.0","","81.0","","84.0","","83.0","","81.0","","81.0","","77.0","","73.0","","75.0","","75.0","","76.0","","78.3","","78.3",""
"BRAZIL","Itaituba","82445","","1961-1990","","Mean Value","%","88.0","","91.0","","91.0","","91.0","","91.0","","89.0","","88.0","","85.0","","84.0","","83.0","","84.0","","88.0","","88.0","","87.8",""
"BRAZIL","Caxias","82476","","1961-1990","","Mean Value","%","78.0","","81.0","","83.0","","83.0","","80.0","","74.0","","67.0","","60.0","","57.0","","59.0","","62.0","","67.0","","70.0","","70.9",""
"BRAZIL","Guaramiranga","82487","","1961-1990","","Mean Value","%","82.0","","88.0","","90.0","","89.0","","81.0","","87.0","","85.0","","80.0","","78.0","","83.0","","79.0","","77.0","","83.3","","83.2",""
"BRAZIL","Jaguaruana","82493","","1961-1990","","Mean Value","%","71.0","","75.0","","82.0","","82.0","","79.0","","77.0","","74.0","","68.0","","68.0","","67.0","","68.0","","69.0","","73.3","","73.3",""
"BRAZIL","Maraba","82562","","1961-1990","","Mean Value","%","86.0","","87.0","","87.0","","87.0","","84.0","","79.0","","77.0","","76.0","","78.0","","81.0","","83.0","","86.0","","82.0","","82.6",""
"BRAZIL","Imperatriz","82564","","1961-1990","","Mean Value","%","83.0","","84.0","","84.0","","83.0","","78.0","","72.0","","64.0","","61.0","","65.0","","70.0","","75.0","","80.0","","74.0","","74.9",""
"BRAZIL","Grajau","82568","","1961-1990","","Mean Value","%","84.0","","86.0","","85.0","","85.0","","82.0","","76.0","","72.0","","66.0","","67.0","","71.0","","78.0","","83.0","","78.0","","77.9",""
"BRAZIL","Barra do Corda","82571","","1961-1990","","Mean Value","%","85.0","","87.0","","88.0","","87.0","","84.0","","80.0","","70.0","","65.0","","64.0","","69.0","","72.0","","78.0","","77.0","","77.4",""
"BRAZIL","Teresina","82578","","1961-1990","","Mean Value","%","75.0","","83.0","","83.0","","84.0","","81.0","","72.0","","65.0","","59.0","","56.0","","58.0","","60.0","","64.0","","70.0","","70.0",""
"BRAZIL","Crateus","82583","","1961-1990","","Mean Value","%","60.0","","73.0","","77.0","","78.0","","73.0","","65.0","","57.0","","50.0","","45.0","","45.0","","47.0","","52.0","","60.2","","60.2",""
"BRAZIL","Quixeramobim","82586","","1961-1990","","Mean Value","%","59.0","","68.0","","76.0","","80.0","","79.0","","75.0","","65.0","","58.0","","56.0","","58.0","","55.0","","57.0","","65.5","","65.5",""
"BRAZIL","Morada Nova","82588","","1961-1990","","Mean Value","%","65.8","","72.0","","80.3","","79.5","","75.0","","73.7","","67.6","","61.4","","57.5","","58.0","","58.3","","61.4","","67.5","","67.5",""
"BRAZIL","Apodi","82590","","1961-1990","","Mean Value","%","64.0","","69.0","","75.0","","77.0","","75.0","","72.0","","67.0","","63.0","","60.0","","58.0","","59.0","","62.0","","66.8","","66.8",""
"BRAZIL","Mossoro","82591","","1961-1990","","Mean Value","%","67.0","","72.0","","78.0","","74.0","","76.0","","72.0","","69.0","","62.0","","61.0","","62.0","","63.0","","66.0","","68.5","","68.5",""
"BRAZIL","Macau","82594","","1961-1990","","Mean Value","%","70.0","","72.0","","75.0","","76.0","","76.0","","70.0","","69.0","","69.0","","68.0","","69.0","","66.0","","70.0","","70.8","","70.8",""
"BRAZIL","Ceara Mirim","82596","","1961-1990","","Mean Value","%","77.0","","78.0","","81.0","","83.0","","84.0","","84.0","","84.0","","80.0","","77.0","","75.0","","74.0","","75.0","","79.3","","79.3",""
"BRAZIL","Sao Felix Xingu","82668","","1961-1990","","Mean Value","%","89.0","","88.0","","88.0","","88.0","","86.0","","84.0","","81.0","","81.0","","82.0","","85.0","","85.0","","88.0","","85.0","","85.4",""
"BRAZIL","Floriano","82678","","1961-1990","","Mean Value","%","80.0","","81.0","","82.0","","76.0","","71.0","","63.0","","52.0","","48.0","","46.0","","56.0","","69.0","","74.0","","66.5","","66.5",""
"BRAZIL","Taua","82683","","1961-1990","","Mean Value","%","59.0","","64.6","","68.0","","74.0","","72.0","","68.0","","66.0","","61.0","","54.0","","57.0","","56.0","","59.0","","63.2","","63.2",""
"BRAZIL","Iguatu","82686","","1961-1990","","Mean Value","%","66.0","","70.0","","75.0","","78.0","","77.0","","69.0","","60.0","","53.0","","48.0","","50.0","","46.0","","49.0","","61.8","","61.8",""
"BRAZIL","Sao Goncalo","82689","","1961-1990","","Mean Value","%","60.0","","67.0","","73.0","","74.0","","70.0","","65.0","","59.0","","54.0","","53.0","","51.0","","52.0","","54.0","","61.0","","61.0",""
"BRAZIL","Florania","82691","","1961-1990","","Mean Value","%","60.0","","64.0","","73.0","","75.0","","71.0","","69.0","","65.0","","60.0","","57.0","","55.0","","55.0","","57.0","","63.4","","63.4",""
"BRAZIL","Carolina","82765","","1961-1990","","Mean Value","%","84.0","","85.0","","85.0","","81.0","","73.0","","61.0","","55.0","","50.0","","57.0","","74.0","","80.0","","83.0","","72.0","","72.3",""
"BRAZIL","Campos Sales","82777","","1961-1990","","Mean Value","%","68.0","","74.0","","82.0","","79.0","","72.0","","66.0","","62.0","","53.0","","52.0","","50.0","","53.0","","59.0","","64.2","","64.2",""
"BRAZIL","Picos","82780","","1961-1990","","Mean Value","%","69.0","","70.0","","77.0","","76.0","","67.0","","52.0","","53.0","","47.0","","42.0","","45.0","","45.0","","58.0","","58.4","","58.4",""
"BRAZIL","Barbalha","82784","","1961-1990","","Mean Value","%","68.0","","74.0","","80.0","","79.0","","73.0","","67.0","","61.0","","53.0","","49.0","","51.0","","53.0","","55.0","","63.6","","63.6",""
"BRAZIL","Triunfo","82789","","1961-1990","","Mean Value","%","67.4","","72.9","","79.2","","83.0","","82.9","","84.1","","81.3","","72.4","","65.9","","60.0","","60.0","","62.7","","72.7","","72.7",""
"BRAZIL","Monteiro","82792","","1961-1990","","Mean Value","%","66.0","","68.0","","73.0","","78.0","","77.0","","77.0","","75.0","","68.0","","66.0","","61.0","","60.0","","60.0","","69.1","","69.1",""
"BRAZIL","Campina Grande","82795","","1961-1990","","Mean Value","%","79.0","","72.0","","86.0","","86.0","","88.0","","91.0","","90.0","","86.0","","84.0","","79.0","","72.0","","79.0","","82.7","","82.7",""
"BRAZIL","Surubim","82797","","1961-1990","","Mean Value","%","71.0","","71.0","","74.0","","77.0","","80.0","","85.0","","82.0","","88.0","","73.0","","73.0","","70.0","","71.0","","76.3","","76.2",""
"BRAZIL","Joao Pessoa","82798","","1961-1990","","Mean Value","%","75.0","","75.0","","81.0","","79.0","","81.0","","81.0","","87.0","","75.0","","67.0","","73.0","","74.0","","74.0","","76.8","","76.8",""
"BRAZIL","Tarauaca","82807","","1961-1990","","Mean Value","%","89.0","","89.0","","89.0","","89.0","","87.0","","87.0","","85.0","","85.0","","85.0","","86.0","","86.0","","89.0","","87.0","","87.2",""
"BRAZIL","Porto Velho","82825","","1961-1990","","Mean Value","%","89.0","","88.0","","84.0","","81.0","","86.0","","88.0","","80.0","","82.0","","84.0","","86.0","","87.0","","82.0","","85.0","","84.8",""
"BRAZIL","Conceicao Araguaia","82861","","1961-1990","","Mean Value","%","90.0","","91.0","","87.0","","90.0","","83.0","","83.0","","77.0","","78.0","","83.0","","83.0","","88.0","","90.0","","85.0","","85.2",""
"BRAZIL","Paulistana","82882","","1961-1990","","Mean Value","%","64.7","","64.9","","73.5","","70.1","","61.6","","54.8","","52.6","","42.9","","42.4","","44.3","","48.1","","57.2","","56.4","","56.4",""
"BRAZIL","Cabrobo","82886","","1961-1990","","Mean Value","%","57.0","","61.0","","67.0","","67.0","","67.0","","66.0","","65.0","","59.0","","53.0","","48.0","","49.0","","54.0","","59.4","","59.4",""
"BRAZIL","Floresta","82887","","1961-1990","","Mean Value","%","60.0","","61.0","","68.0","","69.0","","70.0","","69.0","","69.0","","60.0","","54.0","","50.0","","52.0","","56.0","","61.5","","61.5",""
"BRAZIL","Arco Verde","82890","","1961-1990","","Mean Value","%","62.0","","66.0","","71.0","","74.0","","74.0","","76.0","","77.0","","74.0","","68.0","","65.0","","64.0","","64.0","","69.6","","69.6",""
"BRAZIL","Garanhuns","82893","","1961-1990","","Mean Value","%","76.8","","74.4","","81.0","","79.2","","88.0","","90.1","","91.6","","88.8","","81.3","","77.8","","71.9","","74.7","","81.3","","81.3",""
"BRAZIL","Recife","82900","","1961-1990","","Mean Value","%","73.0","","77.0","","80.0","","84.0","","85.0","","85.0","","85.0","","85.0","","78.0","","76.0","","74.0","","75.0","","79.8","","79.8",""
"BRAZIL","Rio Branco","82915","","1961-1990","","Mean Value","%","87.0","","87.0","","87.0","","87.0","","86.0","","83.0","","79.0","","77.0","","78.0","","82.0","","85.0","","87.0","","84.0","","83.8",""
"BRAZIL","Bom J. do Piaui","82975","","1961-1990","","Mean Value","%","75.2","","77.3","","76.6","","74.4","","64.3","","56.7","","50.1","","41.3","","42.0","","54.5","","66.7","","70.9","","62.5","","62.5",""
"BRAZIL","Remanso","82979","","1961-1990","","Mean Value","%","65.2","","66.1","","69.0","","68.0","","63.3","","60.3","","56.7","","51.7","","49.9","","51.3","","58.8","","61.3","","60.1","","60.1",""
"BRAZIL","Petrolina","82983","","1961-1990","","Mean Value","%","58.0","","63.0","","67.0","","70.0","","64.0","","61.0","","60.0","","53.0","","48.0","","48.0","","50.0","","54.0","","58.0","","58.0",""
